price,pricecat,pricecat2,pricecat3,pricecat4,pricecat5,pricecat6
100000,0,100000,100000-,100000-,100000-,100000
200000,1,200000,200000-,100000-,200000-,200000
200000,1,200000,200000-,100000-,200000-,200000
200000,1,200000,200000-,100000-,200000-,200000
210000,1,200000,200000-,100000-,200000-,200000
220000,1,200000,200000-,100000-,200000-,200000
225000,1,200000,200000-,225000-,225000-,200000
230000,1,200000,200000-,225000-,230000-,200000
230000,1,200000,200000-,225000-,230000-,200000
230000,1,200000,200000-,225000-,230000-,200000
235000,1,200000,200000-,225000-,230000-,200000
235000,1,200000,200000-,225000-,230000-,200000
235000,1,200000,200000-,225000-,230000-,200000
240000,1,200000,200000-,240000-,240000-,200000
240000,1,200000,200000-,240000-,240000-,200000
250000,1,200000,200000-,250000-,250000-,250000
250000,1,200000,200000-,250000-,250000-,250000
250000,1,200000,200000-,250000-,250000-,250000
250000,1,200000,200000-,250000-,250000-,250000
250000,1,200000,200000-,250000-,250000-,250000
265000,1,200000,200000-,250000-,250000-,250000
265000,1,200000,200000-,250000-,250000-,250000
265000,1,200000,200000-,250000-,250000-,250000
275000,1,200000,200000-,275000-,275000-,250000
275000,1,200000,200000-,275000-,275000-,250000
275000,1,200000,200000-,275000-,275000-,250000
275000,1,200000,200000-,275000-,275000-,250000
275000,1,200000,200000-,275000-,275000-,250000
275000,1,200000,200000-,275000-,275000-,250000
275000,1,200000,200000-,275000-,275000-,250000
275000,1,200000,200000-,275000-,275000-,250000
280000,1,200000,200000-,275000-,275000-,250000
280000,1,200000,200000-,275000-,275000-,250000
285000,1,200000,200000-,285000-,285000-,250000
285000,1,200000,200000-,285000-,285000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
290000,1,200000,200000-,290000-,290000-,250000
297000,1,200000,200000-,290000-,290000-,250000
299950,1,200000,200000-,290000-,290000-,250000
299995,1,200000,200000-,290000-,299995-,250000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
300000,2,300000,300000-,300000-,300000-,300000
305000,2,300000,300000-,300000-,300000-,300000
310000,2,300000,300000-,310000-,310000-,300000
310000,2,300000,300000-,310000-,310000-,300000
310000,2,300000,300000-,310000-,310000-,300000
310000,2,300000,300000-,310000-,310000-,300000
310000,2,300000,300000-,310000-,310000-,300000
310000,2,300000,300000-,310000-,310000-,300000
315000,2,300000,300000-,310000-,315000-,300000
315000,2,300000,300000-,310000-,315000-,300000
320000,2,300000,300000-,320000-,320000-,300000
320000,2,300000,300000-,320000-,320000-,300000
320000,2,300000,300000-,320000-,320000-,300000
320000,2,300000,300000-,320000-,320000-,300000
320000,2,300000,300000-,320000-,320000-,300000
320000,2,300000,300000-,320000-,320000-,300000
320000,2,300000,300000-,320000-,320000-,300000
320000,2,300000,300000-,320000-,320000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
325000,2,300000,300000-,325000-,325000-,300000
330000,2,300000,300000-,330000-,330000-,300000
330000,2,300000,300000-,330000-,330000-,300000
330000,2,300000,300000-,330000-,330000-,300000
330000,2,300000,300000-,330000-,330000-,300000
330000,2,300000,300000-,330000-,330000-,300000
330000,2,300000,300000-,330000-,330000-,300000
330000,2,300000,300000-,330000-,330000-,300000
330000,2,300000,300000-,330000-,330000-,300000
335000,2,300000,300000-,330000-,330000-,300000
335000,2,300000,300000-,330000-,330000-,300000
339995,2,300000,300000-,330000-,339995-,300000
339995,2,300000,300000-,330000-,339995-,300000
340000,2,300000,300000-,340000-,340000-,300000
340000,2,300000,300000-,340000-,340000-,300000
340000,2,300000,300000-,340000-,340000-,300000
340000,2,300000,300000-,340000-,340000-,300000
340000,2,300000,300000-,340000-,340000-,300000
340000,2,300000,300000-,340000-,340000-,300000
340000,2,300000,300000-,340000-,340000-,300000
345000,2,300000,300000-,345000-,345000-,300000
345000,2,300000,300000-,345000-,345000-,300000
345000,2,300000,300000-,345000-,345000-,300000
345000,2,300000,300000-,345000-,345000-,300000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
350000,2,300000,300000-,350000-,350000-,350000
360000,2,300000,300000-,350000-,360000-,350000
360000,2,300000,300000-,350000-,360000-,350000
360000,2,300000,300000-,350000-,360000-,350000
360000,2,300000,300000-,350000-,360000-,350000
360000,2,300000,300000-,350000-,360000-,350000
362600,2,300000,300000-,350000-,360000-,350000
365000,2,300000,300000-,365000-,365000-,350000
365000,2,300000,300000-,365000-,365000-,350000
365000,2,300000,300000-,365000-,365000-,350000
365000,2,300000,300000-,365000-,365000-,350000
365000,2,300000,300000-,365000-,365000-,350000
369000,2,300000,300000-,365000-,365000-,350000
369000,2,300000,300000-,365000-,365000-,350000
370000,2,300000,300000-,370000-,370000-,350000
370000,2,300000,300000-,370000-,370000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
375000,2,300000,300000-,375000-,375000-,350000
380000,2,300000,300000-,380000-,380000-,350000
380000,2,300000,300000-,380000-,380000-,350000
380000,2,300000,300000-,380000-,380000-,350000
380000,2,300000,300000-,380000-,380000-,350000
380000,2,300000,300000-,380000-,380000-,350000
380000,2,300000,300000-,380000-,380000-,350000
380000,2,300000,300000-,380000-,380000-,350000
380000,2,300000,300000-,380000-,380000-,350000
381950,2,300000,300000-,380000-,380000-,350000
385000,2,300000,300000-,380000-,385000-,350000
385000,2,300000,300000-,380000-,385000-,350000
385000,2,300000,300000-,380000-,385000-,350000
385000,2,300000,300000-,380000-,385000-,350000
387000,2,300000,300000-,380000-,385000-,350000
389000,2,300000,300000-,389000-,389000-,350000
389950,2,300000,300000-,389000-,389000-,350000
389995,2,300000,300000-,389000-,389000-,350000
390000,2,300000,300000-,389000-,390000-,350000
390000,2,300000,300000-,389000-,390000-,350000
390000,2,300000,300000-,389000-,390000-,350000
390000,2,300000,300000-,389000-,390000-,350000
395000,2,300000,300000-,395000-,395000-,350000
395000,2,300000,300000-,395000-,395000-,350000
395000,2,300000,300000-,395000-,395000-,350000
395000,2,300000,300000-,395000-,395000-,350000
395000,2,300000,300000-,395000-,395000-,350000
395000,2,300000,300000-,395000-,395000-,350000
399995,2,300000,300000-,399995-,399995-,350000
399995,2,300000,300000-,399995-,399995-,350000
399995,2,300000,300000-,399995-,399995-,350000
400000,3,400000,400000-,400000-,400000-,400000
400000,3,400000,400000-,400000-,400000-,400000
400000,3,400000,400000-,400000-,400000-,400000
