areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E06000023,"Bristol, City of",ltla,2021-10-10,12_15,21429.0,35.0,0.0,1195.0,1.0,35.0,0.0,5.6,0.2,0.2
E06000023,"Bristol, City of",ltla,2021-10-10,16_17,10246.0,1742.0,10.0,5517.0,6.0,1742.0,10.0,53.8,17.0,17.0
E06000023,"Bristol, City of",ltla,2021-10-10,18_24,64118.0,36891.0,41.0,44032.0,7.0,36891.0,41.0,68.7,57.5,57.5
E06000023,"Bristol, City of",ltla,2021-10-10,25_29,53733.0,31974.0,23.0,36244.0,12.0,31974.0,23.0,67.5,59.5,59.5
E06000023,"Bristol, City of",ltla,2021-10-10,30_34,53347.0,33455.0,26.0,37011.0,5.0,33455.0,26.0,69.4,62.7,62.7
E06000023,"Bristol, City of",ltla,2021-10-10,35_39,46028.0,30149.0,19.0,32750.0,3.0,30149.0,19.0,71.2,65.5,65.5
E06000023,"Bristol, City of",ltla,2021-10-10,40_44,37477.0,26360.0,12.0,27997.0,3.0,26360.0,12.0,74.7,70.3,70.3
E06000023,"Bristol, City of",ltla,2021-10-10,45_49,31558.0,23840.0,3.0,25087.0,3.0,23840.0,3.0,79.5,75.5,75.5
E06000023,"Bristol, City of",ltla,2021-10-10,50_54,29502.0,23953.0,5.0,24822.0,0.0,23953.0,5.0,84.1,81.2,81.2
E06000023,"Bristol, City of",ltla,2021-10-10,55_59,27535.0,23117.0,4.0,23864.0,1.0,23117.0,4.0,86.7,84.0,84.0
E06000023,"Bristol, City of",ltla,2021-10-10,60_64,22133.0,19121.0,0.0,19727.0,0.0,19121.0,0.0,89.1,86.4,86.4
E06000023,"Bristol, City of",ltla,2021-10-10,65_69,17964.0,16100.0,0.0,16378.0,1.0,16100.0,0.0,91.2,89.6,89.6
E06000023,"Bristol, City of",ltla,2021-10-10,70_74,16541.0,15307.0,0.0,15474.0,0.0,15307.0,0.0,93.5,92.5,92.5
E06000023,"Bristol, City of",ltla,2021-10-10,75_79,11597.0,10850.0,0.0,10952.0,0.0,10850.0,0.0,94.4,93.6,93.6
E06000023,"Bristol, City of",ltla,2021-10-10,80_84,8170.0,7721.0,1.0,7782.0,0.0,7721.0,1.0,95.3,94.5,94.5
E06000023,"Bristol, City of",ltla,2021-10-10,85_89,5082.0,4790.0,0.0,4843.0,0.0,4790.0,0.0,95.3,94.3,94.3
E06000023,"Bristol, City of",ltla,2021-10-10,90+,2911.0,2743.0,0.0,2774.0,0.0,2743.0,0.0,95.3,94.2,94.2
E06000023,"Bristol, City of",ltla,2021-10-09,12_15,21429.0,35.0,4.0,1194.0,16.0,35.0,4.0,5.6,0.2,0.2
E06000023,"Bristol, City of",ltla,2021-10-09,16_17,10246.0,1732.0,34.0,5511.0,33.0,1732.0,34.0,53.8,16.9,16.9
E06000023,"Bristol, City of",ltla,2021-10-09,18_24,64118.0,36850.0,114.0,44025.0,41.0,36850.0,114.0,68.7,57.5,57.5
E06000023,"Bristol, City of",ltla,2021-10-09,25_29,53733.0,31951.0,64.0,36232.0,21.0,31951.0,64.0,67.4,59.5,59.5
E06000023,"Bristol, City of",ltla,2021-10-09,30_34,53347.0,33429.0,48.0,37006.0,18.0,33429.0,48.0,69.4,62.7,62.7
E06000023,"Bristol, City of",ltla,2021-10-09,35_39,46028.0,30130.0,28.0,32747.0,12.0,30130.0,28.0,71.1,65.5,65.5
E06000023,"Bristol, City of",ltla,2021-10-09,40_44,37477.0,26348.0,12.0,27994.0,8.0,26348.0,12.0,74.7,70.3,70.3
E06000023,"Bristol, City of",ltla,2021-10-09,45_49,31558.0,23837.0,10.0,25084.0,4.0,23837.0,10.0,79.5,75.5,75.5
E06000023,"Bristol, City of",ltla,2021-10-09,50_54,29502.0,23948.0,8.0,24822.0,3.0,23948.0,8.0,84.1,81.2,81.2
E06000023,"Bristol, City of",ltla,2021-10-09,55_59,27535.0,23113.0,2.0,23863.0,1.0,23113.0,2.0,86.7,83.9,83.9
E06000023,"Bristol, City of",ltla,2021-10-09,60_64,22133.0,19121.0,5.0,19727.0,1.0,19121.0,5.0,89.1,86.4,86.4
E06000023,"Bristol, City of",ltla,2021-10-09,65_69,17964.0,16100.0,3.0,16377.0,0.0,16100.0,3.0,91.2,89.6,89.6
E06000023,"Bristol, City of",ltla,2021-10-09,70_74,16541.0,15307.0,0.0,15474.0,1.0,15307.0,0.0,93.5,92.5,92.5
E06000023,"Bristol, City of",ltla,2021-10-09,75_79,11597.0,10850.0,1.0,10952.0,0.0,10850.0,1.0,94.4,93.6,93.6
