areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-11-22,29,144134
overview,United Kingdom,K02000001,2021-11-21,52,144105
overview,United Kingdom,K02000001,2021-11-20,66,144053
overview,United Kingdom,K02000001,2021-11-19,85,143987
overview,United Kingdom,K02000001,2021-11-18,112,143902
overview,United Kingdom,K02000001,2021-11-17,109,143790
overview,United Kingdom,K02000001,2021-11-16,139,143681
overview,United Kingdom,K02000001,2021-11-15,160,143542
overview,United Kingdom,K02000001,2021-11-14,117,143382
overview,United Kingdom,K02000001,2021-11-13,130,143265
overview,United Kingdom,K02000001,2021-11-12,139,143135
overview,United Kingdom,K02000001,2021-11-11,143,142996
overview,United Kingdom,K02000001,2021-11-10,146,142853
overview,United Kingdom,K02000001,2021-11-09,143,142707
overview,United Kingdom,K02000001,2021-11-08,147,142564
overview,United Kingdom,K02000001,2021-11-07,168,142417
overview,United Kingdom,K02000001,2021-11-06,164,142249
overview,United Kingdom,K02000001,2021-11-05,152,142085
overview,United Kingdom,K02000001,2021-11-04,156,141933
overview,United Kingdom,K02000001,2021-11-03,161,141777
overview,United Kingdom,K02000001,2021-11-02,157,141616
overview,United Kingdom,K02000001,2021-11-01,174,141459
overview,United Kingdom,K02000001,2021-10-31,182,141285
overview,United Kingdom,K02000001,2021-10-30,167,141103
overview,United Kingdom,K02000001,2021-10-29,171,140936
overview,United Kingdom,K02000001,2021-10-28,190,140765
overview,United Kingdom,K02000001,2021-10-27,159,140575
overview,United Kingdom,K02000001,2021-10-26,161,140416
overview,United Kingdom,K02000001,2021-10-25,130,140255
overview,United Kingdom,K02000001,2021-10-24,152,140125
overview,United Kingdom,K02000001,2021-10-23,163,139973
overview,United Kingdom,K02000001,2021-10-22,134,139810
overview,United Kingdom,K02000001,2021-10-21,155,139676
overview,United Kingdom,K02000001,2021-10-20,152,139521
overview,United Kingdom,K02000001,2021-10-19,128,139369
overview,United Kingdom,K02000001,2021-10-18,127,139241
overview,United Kingdom,K02000001,2021-10-17,127,139114
overview,United Kingdom,K02000001,2021-10-16,132,138987
overview,United Kingdom,K02000001,2021-10-15,137,138855
overview,United Kingdom,K02000001,2021-10-14,149,138718
overview,United Kingdom,K02000001,2021-10-13,119,138569
overview,United Kingdom,K02000001,2021-10-12,113,138450
overview,United Kingdom,K02000001,2021-10-11,122,138337
overview,United Kingdom,K02000001,2021-10-10,96,138215
overview,United Kingdom,K02000001,2021-10-09,115,138119
overview,United Kingdom,K02000001,2021-10-08,115,138004
overview,United Kingdom,K02000001,2021-10-07,121,137889
overview,United Kingdom,K02000001,2021-10-06,101,137768
overview,United Kingdom,K02000001,2021-10-05,119,137667
overview,United Kingdom,K02000001,2021-10-04,101,137548
overview,United Kingdom,K02000001,2021-10-03,96,137447
overview,United Kingdom,K02000001,2021-10-02,109,137351
overview,United Kingdom,K02000001,2021-10-01,129,137242
overview,United Kingdom,K02000001,2021-09-30,113,137113
overview,United Kingdom,K02000001,2021-09-29,124,137000
overview,United Kingdom,K02000001,2021-09-28,105,136876
overview,United Kingdom,K02000001,2021-09-27,114,136771
overview,United Kingdom,K02000001,2021-09-26,97,136657
overview,United Kingdom,K02000001,2021-09-25,124,136560
overview,United Kingdom,K02000001,2021-09-24,124,136436
overview,United Kingdom,K02000001,2021-09-23,137,136312
overview,United Kingdom,K02000001,2021-09-22,146,136175
overview,United Kingdom,K02000001,2021-09-21,120,136029
overview,United Kingdom,K02000001,2021-09-20,134,135909
overview,United Kingdom,K02000001,2021-09-19,126,135775
overview,United Kingdom,K02000001,2021-09-18,122,135649
overview,United Kingdom,K02000001,2021-09-17,171,135527
overview,United Kingdom,K02000001,2021-09-16,150,135356
overview,United Kingdom,K02000001,2021-09-15,142,135206
overview,United Kingdom,K02000001,2021-09-14,154,135064
overview,United Kingdom,K02000001,2021-09-13,109,134910
overview,United Kingdom,K02000001,2021-09-12,140,134801
overview,United Kingdom,K02000001,2021-09-11,137,134661
overview,United Kingdom,K02000001,2021-09-10,144,134524
overview,United Kingdom,K02000001,2021-09-09,162,134380
overview,United Kingdom,K02000001,2021-09-08,139,134218
overview,United Kingdom,K02000001,2021-09-07,155,134079
overview,United Kingdom,K02000001,2021-09-06,138,133924
overview,United Kingdom,K02000001,2021-09-05,155,133786
overview,United Kingdom,K02000001,2021-09-04,133,133631
overview,United Kingdom,K02000001,2021-09-03,149,133498
overview,United Kingdom,K02000001,2021-09-02,127,133349
overview,United Kingdom,K02000001,2021-09-01,118,133222
overview,United Kingdom,K02000001,2021-08-31,116,133104
overview,United Kingdom,K02000001,2021-08-30,106,132988
overview,United Kingdom,K02000001,2021-08-29,128,132882
overview,United Kingdom,K02000001,2021-08-28,124,132754
overview,United Kingdom,K02000001,2021-08-27,127,132630
overview,United Kingdom,K02000001,2021-08-26,116,132503
overview,United Kingdom,K02000001,2021-08-25,101,132387
overview,United Kingdom,K02000001,2021-08-24,113,132286
overview,United Kingdom,K02000001,2021-08-23,114,132173
overview,United Kingdom,K02000001,2021-08-22,116,132059
overview,United Kingdom,K02000001,2021-08-21,104,131943
overview,United Kingdom,K02000001,2021-08-20,117,131839
overview,United Kingdom,K02000001,2021-08-19,108,131722
overview,United Kingdom,K02000001,2021-08-18,98,131614
overview,United Kingdom,K02000001,2021-08-17,108,131516
overview,United Kingdom,K02000001,2021-08-16,78,131408
overview,United Kingdom,K02000001,2021-08-15,85,131330
overview,United Kingdom,K02000001,2021-08-14,93,131245
overview,United Kingdom,K02000001,2021-08-13,104,131152
overview,United Kingdom,K02000001,2021-08-12,106,131048
overview,United Kingdom,K02000001,2021-08-11,88,130942
overview,United Kingdom,K02000001,2021-08-10,81,130854
overview,United Kingdom,K02000001,2021-08-09,79,130773
overview,United Kingdom,K02000001,2021-08-08,79,130694
overview,United Kingdom,K02000001,2021-08-07,95,130615
overview,United Kingdom,K02000001,2021-08-06,93,130520
overview,United Kingdom,K02000001,2021-08-05,101,130427
overview,United Kingdom,K02000001,2021-08-04,79,130326
overview,United Kingdom,K02000001,2021-08-03,74,130247
overview,United Kingdom,K02000001,2021-08-02,79,130173
overview,United Kingdom,K02000001,2021-08-01,93,130094
overview,United Kingdom,K02000001,2021-07-31,89,130001
overview,United Kingdom,K02000001,2021-07-30,105,129912
overview,United Kingdom,K02000001,2021-07-29,78,129807
overview,United Kingdom,K02000001,2021-07-28,86,129729
overview,United Kingdom,K02000001,2021-07-27,72,129643
overview,United Kingdom,K02000001,2021-07-26,74,129571
overview,United Kingdom,K02000001,2021-07-25,71,129497
overview,United Kingdom,K02000001,2021-07-24,72,129426
overview,United Kingdom,K02000001,2021-07-23,81,129354
overview,United Kingdom,K02000001,2021-07-22,76,129273
overview,United Kingdom,K02000001,2021-07-21,54,129197
overview,United Kingdom,K02000001,2021-07-20,58,129143
overview,United Kingdom,K02000001,2021-07-19,83,129085
overview,United Kingdom,K02000001,2021-07-18,66,129002
overview,United Kingdom,K02000001,2021-07-17,52,128936
overview,United Kingdom,K02000001,2021-07-16,50,128884
overview,United Kingdom,K02000001,2021-07-15,52,128834
overview,United Kingdom,K02000001,2021-07-14,42,128782
overview,United Kingdom,K02000001,2021-07-13,49,128740
overview,United Kingdom,K02000001,2021-07-12,39,128691
overview,United Kingdom,K02000001,2021-07-11,33,128652
overview,United Kingdom,K02000001,2021-07-10,42,128619
overview,United Kingdom,K02000001,2021-07-09,47,128577
overview,United Kingdom,K02000001,2021-07-08,38,128530
overview,United Kingdom,K02000001,2021-07-07,29,128492
overview,United Kingdom,K02000001,2021-07-06,32,128463
overview,United Kingdom,K02000001,2021-07-05,28,128431
overview,United Kingdom,K02000001,2021-07-04,28,128403
overview,United Kingdom,K02000001,2021-07-03,28,128375
overview,United Kingdom,K02000001,2021-07-02,28,128347
overview,United Kingdom,K02000001,2021-07-01,21,128319
overview,United Kingdom,K02000001,2021-06-30,21,128298
overview,United Kingdom,K02000001,2021-06-29,24,128277
overview,United Kingdom,K02000001,2021-06-28,12,128253
overview,United Kingdom,K02000001,2021-06-27,20,128241
overview,United Kingdom,K02000001,2021-06-26,17,128221
overview,United Kingdom,K02000001,2021-06-25,20,128204
overview,United Kingdom,K02000001,2021-06-24,21,128184
overview,United Kingdom,K02000001,2021-06-23,7,128163
overview,United Kingdom,K02000001,2021-06-22,13,128156
overview,United Kingdom,K02000001,2021-06-21,16,128143
overview,United Kingdom,K02000001,2021-06-20,23,128127
overview,United Kingdom,K02000001,2021-06-19,23,128104
overview,United Kingdom,K02000001,2021-06-18,13,128081
