Country,Asset,Value
OECD,Housing (main residence),50.37%
AUT,Housing (main residence),36.08%
BEL,Housing (main residence),50.66%
EST,Housing (main residence),54.32%
FIN,Housing (main residence),46.91%
FRA,Housing (main residence),39.48%
DEU,Housing (main residence),29.43%
GRC,Housing (main residence),54.83%
HUN,Housing (main residence),64.87%
IRL,Housing (main residence),50.40%
ITA,Housing (main residence),53.18%
LVA,Housing (main residence),58.50%
LUX,Housing (main residence),51.02%
NLD,Housing (main residence),43.15%
POL,Housing (main residence),64.36%
PRT,Housing (main residence),51.86%
SVK,Housing (main residence),71.80%
SVN,Housing (main residence),59.17%
ESP,Housing (main residence),58.78%
AUS,Housing (main residence),46.92%
CAN,Housing (main residence),38.48%
NOR,Housing (main residence),52.26%
GBR,Housing (main residence),45.11%
USA,Housing (main residence),37.03%
OECD,Deposits,16.60%
OECD,Other financial assets,6.88%
OECD,Other real assets,17.48%
OECD,Other real estate,8.67%
AUT,Other real estate,5.31%
BEL,Other real estate,6.60%
EST,Other real estate,11.65%
FIN,Other real estate,11.47%
FRA,Other real estate,7.80%
DEU,Other real estate,7.43%
GRC,Other real estate,15.47%
HUN,Other real estate,7.31%
IRL,Other real estate,12.10%
ITA,Other real estate,7.31%
LVA,Other real estate,17.20%
LUX,Other real estate,11.39%
NLD,Other real estate,2.95%
POL,Other real estate,6.04%
PRT,Other real estate,11.73%
SVK,Other real estate,4.88%
SVN,Other real estate,9.90%
ESP,Other real estate,14.59%
AUT,Other real assets,18.46%
BEL,Other real assets,11.06%
EST,Other real assets,11.49%
FIN,Other real assets,12.63%
FRA,Other real assets,28.00%
DEU,Other real assets,16.08%
GRC,Other real assets,18.10%
HUN,Other real assets,7.97%
IRL,Other real assets,20.22%
ITA,Other real assets,22.28%
LVA,Other real assets,10.80%
LUX,Other real assets,14.20%
NLD,Other real assets,15.51%
POL,Other real assets,13.89%
PRT,Other real assets,13.93%
SVK,Other real assets,10.20%
SVN,Other real assets,15.22%
ESP,Other real assets,10.94%
AUT,Deposits,34.42%
BEL,Deposits,21.04%
EST,Deposits,18.93%
FIN,Deposits,23.04%
FRA,Deposits,16.95%
DEU,Deposits,29.61%
GRC,Deposits,10.71%
HUN,Deposits,14.28%
IRL,Deposits,13.43%
ITA,Deposits,13.08%
LVA,Deposits,11.41%
LUX,Deposits,16.35%
NLD,Deposits,23.44%
POL,Deposits,9.96%
PRT,Deposits,19.03%
SVK,Deposits,10.50%
SVN,Deposits,12.26%
ESP,Deposits,11.03%
AUT,Other financial assets,5.73%
BEL,Other financial assets,10.63%
EST,Other financial assets,3.61%
FIN,Other financial assets,5.95%
FRA,Other financial assets,7.77%
DEU,Other financial assets,17.45%
GRC,Other financial assets,0.89%
HUN,Other financial assets,5.57%
IRL,Other financial assets,3.86%
ITA,Other financial assets,4.15%
LVA,Other financial assets,2.09%
LUX,Other financial assets,7.04%
NLD,Other financial assets,14.94%
POL,Other financial assets,5.75%
PRT,Other financial assets,3.45%
SVK,Other financial assets,2.61%
SVN,Other financial assets,3.45%
ESP,Other financial assets,4.66%
AUS,Other real estate,8.95%
AUS,Other real assets,32.45%
AUS,Deposits,7.53%
AUS,Other financial assets,4.15%
CAN,Other real estate,5.97%
CAN,Other real assets,29.35%
CAN,Deposits,11.51%
CAN,Other financial assets,14.69%
NOR,Other real estate,7.21%
NOR,Other real assets,5.88%
NOR,Deposits,30.20%
NOR,Other financial assets,4.45%
GBR,Other real estate,1.76%
GBR,Other real assets,37.83%
GBR,Deposits,8.19%
GBR,Other financial assets,7.10%
USA,Other real estate,4.39%
USA,Other real assets,25.45%
USA,Deposits,14.81%
USA,Other financial assets,18.32%
