areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,30/09/2021,29188
K02000001,United Kingdom,overview,29/09/2021,33448
K02000001,United Kingdom,overview,28/09/2021,35599
K02000001,United Kingdom,overview,27/09/2021,40788
K02000001,United Kingdom,overview,26/09/2021,31491
K02000001,United Kingdom,overview,25/09/2021,27814
K02000001,United Kingdom,overview,24/09/2021,31569
K02000001,United Kingdom,overview,23/09/2021,35212
K02000001,United Kingdom,overview,22/09/2021,36137
K02000001,United Kingdom,overview,21/09/2021,38212
K02000001,United Kingdom,overview,20/09/2021,40068
K02000001,United Kingdom,overview,19/09/2021,30523
K02000001,United Kingdom,overview,18/09/2021,26284
K02000001,United Kingdom,overview,17/09/2021,29047
K02000001,United Kingdom,overview,16/09/2021,29167
K02000001,United Kingdom,overview,15/09/2021,29931
K02000001,United Kingdom,overview,14/09/2021,30912
K02000001,United Kingdom,overview,13/09/2021,34112
K02000001,United Kingdom,overview,12/09/2021,23662
K02000001,United Kingdom,overview,11/09/2021,23188
K02000001,United Kingdom,overview,10/09/2021,28701
K02000001,United Kingdom,overview,09/09/2021,33398
K02000001,United Kingdom,overview,08/09/2021,35222
K02000001,United Kingdom,overview,07/09/2021,38017
K02000001,United Kingdom,overview,06/09/2021,44142
K02000001,United Kingdom,overview,05/09/2021,31254
K02000001,United Kingdom,overview,04/09/2021,31353
K02000001,United Kingdom,overview,03/09/2021,38016
K02000001,United Kingdom,overview,02/09/2021,41607
K02000001,United Kingdom,overview,01/09/2021,42827
K02000001,United Kingdom,overview,31/08/2021,44486
K02000001,United Kingdom,overview,30/08/2021,34172
K02000001,United Kingdom,overview,29/08/2021,25695
K02000001,United Kingdom,overview,28/08/2021,27163
K02000001,United Kingdom,overview,27/08/2021,33177
K02000001,United Kingdom,overview,26/08/2021,36986
K02000001,United Kingdom,overview,25/08/2021,38095
K02000001,United Kingdom,overview,24/08/2021,37021
K02000001,United Kingdom,overview,23/08/2021,39040
K02000001,United Kingdom,overview,22/08/2021,28300
K02000001,United Kingdom,overview,21/08/2021,28091
K02000001,United Kingdom,overview,20/08/2021,31674
K02000001,United Kingdom,overview,19/08/2021,35829
K02000001,United Kingdom,overview,18/08/2021,38009
K02000001,United Kingdom,overview,17/08/2021,37183
K02000001,United Kingdom,overview,16/08/2021,36189
K02000001,United Kingdom,overview,15/08/2021,24920
K02000001,United Kingdom,overview,14/08/2021,24649
K02000001,United Kingdom,overview,13/08/2021,28451
K02000001,United Kingdom,overview,12/08/2021,31126
K02000001,United Kingdom,overview,11/08/2021,32737
K02000001,United Kingdom,overview,10/08/2021,30928
K02000001,United Kingdom,overview,09/08/2021,31524
K02000001,United Kingdom,overview,08/08/2021,22413
K02000001,United Kingdom,overview,07/08/2021,22117
K02000001,United Kingdom,overview,06/08/2021,27540
K02000001,United Kingdom,overview,05/08/2021,31079
K02000001,United Kingdom,overview,04/08/2021,31731
K02000001,United Kingdom,overview,03/08/2021,29818
K02000001,United Kingdom,overview,02/08/2021,29270
K02000001,United Kingdom,overview,01/08/2021,20519
K02000001,United Kingdom,overview,31/07/2021,20156
K02000001,United Kingdom,overview,30/07/2021,24283
K02000001,United Kingdom,overview,29/07/2021,27899
K02000001,United Kingdom,overview,28/07/2021,29664
K02000001,United Kingdom,overview,27/07/2021,29049
K02000001,United Kingdom,overview,26/07/2021,29394
K02000001,United Kingdom,overview,25/07/2021,21776
K02000001,United Kingdom,overview,24/07/2021,22483
K02000001,United Kingdom,overview,23/07/2021,27276
K02000001,United Kingdom,overview,22/07/2021,30744
K02000001,United Kingdom,overview,21/07/2021,34934
K02000001,United Kingdom,overview,20/07/2021,39070
K02000001,United Kingdom,overview,19/07/2021,46903
K02000001,United Kingdom,overview,18/07/2021,35506
K02000001,United Kingdom,overview,17/07/2021,37853
K02000001,United Kingdom,overview,16/07/2021,54228
K02000001,United Kingdom,overview,15/07/2021,60766
K02000001,United Kingdom,overview,14/07/2021,53824
K02000001,United Kingdom,overview,13/07/2021,46733
K02000001,United Kingdom,overview,12/07/2021,43653
K02000001,United Kingdom,overview,11/07/2021,30026
K02000001,United Kingdom,overview,10/07/2021,27878
K02000001,United Kingdom,overview,09/07/2021,32221
K02000001,United Kingdom,overview,08/07/2021,33350
K02000001,United Kingdom,overview,07/07/2021,37815
K02000001,United Kingdom,overview,06/07/2021,35367
K02000001,United Kingdom,overview,05/07/2021,34197
K02000001,United Kingdom,overview,04/07/2021,24672
K02000001,United Kingdom,overview,03/07/2021,23567
K02000001,United Kingdom,overview,02/07/2021,25782
K02000001,United Kingdom,overview,01/07/2021,28113
K02000001,United Kingdom,overview,30/06/2021,28327
K02000001,United Kingdom,overview,29/06/2021,27596
K02000001,United Kingdom,overview,28/06/2021,27750
K02000001,United Kingdom,overview,27/06/2021,18129
K02000001,United Kingdom,overview,26/06/2021,15974
K02000001,United Kingdom,overview,25/06/2021,17781
K02000001,United Kingdom,overview,24/06/2021,18302
K02000001,United Kingdom,overview,23/06/2021,17908
K02000001,United Kingdom,overview,22/06/2021,17005
