RegionName,date,HouseRegionMedianPrice
East Midlands,12/31/1995,45950
East Midlands, 3/31/1996,45995
East Midlands, 6/30/1996,46000
East Midlands, 9/30/1996,46500
East Midlands,12/31/1996,47500
East Midlands, 3/31/1997,48000
East Midlands, 6/30/1997,49000
East Midlands, 9/30/1997,49950
East Midlands,12/31/1997,50000
East Midlands, 3/31/1998,51000
East Midlands, 6/30/1998,52000
East Midlands, 9/30/1998,53000
East Midlands,12/31/1998,53500
East Midlands, 3/31/1999,54000
East Midlands, 6/30/1999,55000
East Midlands, 9/30/1999,56000
East Midlands,12/31/1999,57500
East Midlands, 3/31/2000,58500
East Midlands, 6/30/2000,59900
East Midlands, 9/30/2000,60000
East Midlands,12/31/2000,61500
East Midlands, 3/31/2001,63500
East Midlands, 6/30/2001,65950
East Midlands, 9/30/2001,68000
East Midlands,12/31/2001,70000
East Midlands, 3/31/2002,72250
East Midlands, 6/30/2002,75000
East Midlands, 9/30/2002,79995
East Midlands,12/31/2002,85000
East Midlands, 3/31/2003,89000
East Midlands, 6/30/2003,94000
East Midlands, 9/30/2003,99950
East Midlands,12/31/2003,107000
East Midlands, 3/31/2004,112000
East Midlands, 6/30/2004,117950
East Midlands, 9/30/2004,123000
East Midlands,12/31/2004,126302
East Midlands, 3/31/2005,129950
East Midlands, 6/30/2005,130000
East Midlands, 9/30/2005,130500
East Midlands, 9/30/2009,132000
East Midlands, 3/31/2006,132000
East Midlands,12/31/2005,132000
East Midlands, 6/30/2009,132500
East Midlands, 6/30/2006,134000
East Midlands, 9/30/2006,135000
East Midlands, 3/31/2009,135000
East Midlands,12/31/2009,135000
East Midlands, 3/31/2010,136000
East Midlands,12/31/2011,136000
East Midlands, 3/31/2012,136500
East Midlands, 6/30/2012,136950
East Midlands, 9/30/2011,136995
East Midlands,12/31/2006,137000
East Midlands, 9/30/2012,137386
East Midlands,12/31/2008,138000
East Midlands, 6/30/2010,138000
East Midlands,12/31/2012,138000
East Midlands, 6/30/2011,138000
East Midlands, 3/31/2013,138000
East Midlands,12/31/2010,139000
East Midlands, 6/30/2013,139000
East Midlands, 3/31/2011,139000
East Midlands, 3/31/2007,139075
East Midlands, 9/30/2013,140000
